title,id,stage,creation,activity,type,components,status,creator
Failure to check return value from lseek() in Modules/mmapmodule.c,23860,4,2015-04-03.17:44:00,2015-04-09.20:37:57,5,['5'],1,21165
uuid.uuid1() is too slow,5885,4,2009-04-30.10:13:35,2015-04-09.17:38:49,7,['9'],1,9479
SemLock acquire() keyword arg 'blocking' is invalid,23484,4,2015-02-19.11:31:14,2015-04-08.20:28:24,6,['4'],1,20848
Add tests for wsgiref.validate,23577,4,2015-03-03.16:58:55,2015-04-08.08:07:09,6,['12'],1,20786
Argument Clinic: inline parsing code for 1-argument functions,23867,4,2015-04-04.14:24:36,2015-04-04.14:24:36,6,['31'],1,15623
Unchecked return value of I/O functions,15948,4,2012-09-15.15:29:06,2015-04-04.08:32:47,5,[],1,3108
"Use ""with"" to avoid possible fd leaks",22831,4,2014-11-09.19:22:27,2015-04-04.08:03:49,3,"['2', '9', '12']",1,15623
Integer overflow in case_operation,22643,4,2014-10-15.14:50:30,2015-04-03.13:02:42,1,['14'],1,20209
Clear caches after every test,23839,4,2015-04-01.11:30:41,2015-04-02.10:54:49,3,['12'],1,15623
Typo in class io.BufferedIOBase docs,22671,4,2014-10-19.09:35:52,2015-04-02.00:05:06,6,['4'],1,20305
Fatal error in dbm.gdbm,22035,4,2014-07-22.10:20:40,2015-04-01.09:47:12,1,['5'],1,15623
Use backslashreplace in pprint,19100,4,2013-09-27.11:05:10,2015-03-31.22:26:42,5,"['9', '14']",1,15623
Implement __format__ for Fraction,23602,4,2015-03-07.17:06:09,2015-03-31.16:55:57,6,['9'],1,20938
Content-Type when sending data with urlopen(),23360,4,2015-02-01.12:43:32,2015-03-31.16:47:28,None,['4'],1,14751
Inconsistency in datetime.utcfromtimestamp(Decimal),23607,4,2015-03-08.10:35:01,2015-03-30.14:42:46,5,['9'],1,15623
Improve documenation about num_params in sqlite3 create_function and create_aggregate,23758,4,2015-03-24.09:44:55,2015-03-30.00:36:46,6,['4'],1,9502
ctypes docs: Unimplemented and undocumented features,19023,4,2013-09-15.11:57:50,2015-03-30.00:34:50,6,"['4', '22']",1,1703
"Add to unicodedata a function to query the ""Quick_Check"" property for a character",23550,4,2015-02-28.18:21:10,2015-03-28.19:25:31,6,"['9', '14']",1,20892
socketserver.BaseServer.handle_error() should not catch exiting exceptions,23430,4,2015-02-10.03:34:07,2015-03-28.05:04:26,6,['9'],1,14751
Autodetecting JSON encoding,17909,4,2013-05-05.13:10:30,2015-03-28.03:21:56,6,"['9', '14']",1,15623
buffered read() and write() does not raise BlockingIOError,13322,4,2011-11-02.15:08:55,2015-03-27.01:10:36,5,"['4', '9', '23']",1,13976
urljoin behaves differently with custom and standard schemas,18828,4,2013-08-25.12:52:00,2015-03-26.23:09:49,5,['9'],1,10291
Add support of UnicodeTranslateError in standard error handlers,23676,4,2015-03-15.21:59:08,2015-03-26.22:45:41,6,['8'],1,15623
multiprocessing page leaves out important part of Pool example,18620,4,2013-08-01.20:30:44,2015-03-26.15:44:18,5,['4'],1,18196
SRE: (?flag:...) is not supported,433028,4,2001-06-14.08:28:31,2015-03-25.20:54:17,6,['11'],1,13
add threading.RWLock,8800,4,2010-05-24.09:55:40,2015-03-25.17:31:41,6,['9'],1,2217
Support for opening files with FILE_SHARE_DELETE on Windows,15244,4,2012-07-03.19:14:54,2015-03-24.18:04:49,6,['9'],1,13976
multiprocessing RLock and Lock raise incorrect exceptions when releasing an unlocked lock.,21342,4,2014-04-24.06:00:51,2015-03-24.03:26:55,5,['9'],1,17565
urllib.parse.urlparse() accepts wrong URLs,20271,4,2014-01-15.12:32:09,2015-03-23.05:26:01,5,['9'],1,15623
Py_GetVersion() is broken when using mqueue and a long patch name,21313,4,2014-04-19.22:17:18,2015-03-22.14:36:28,5,['8'],1,14000
Use GCC visibility attrs in PyAPI_*,11410,4,2011-03-06.06:12:25,2015-03-22.12:54:14,6,[],1,14
timeit called from within Python should allow autoranging,6422,4,2009-07-05.15:15:10,2015-03-22.06:54:18,6,['9'],1,753
"add strptime(s, '%s')",22246,4,2014-08-21.23:48:56,2015-03-21.22:44:32,6,['9'],1,12270
Turn on extra warnings on GCC,23545,4,2015-02-27.22:29:43,2015-03-18.20:36:59,6,['1'],1,15623
Adding a new regex module (compatible with re),2636,4,2008-04-15.11:57:51,2015-03-18.09:26:09,6,"['9', '11']",1,3478
Have timeit warn about runs that are not independent of each other,23552,4,2015-02-28.20:42:51,2015-03-17.23:04:12,6,['9'],1,114
timeit CLI best of 3: undocumented output format,23183,4,2015-01-07.08:53:19,2015-03-17.21:25:40,6,['4'],1,20629
Add traceback.print_full_exception(),1553375,4,2006-09-06.12:48:54,2015-03-17.20:31:54,6,['9'],1,1182
SRE: Atomic Grouping (?>...) is not supported,433030,4,2001-06-14.08:30:56,2015-03-17.18:35:09,6,"['9', '11']",1,13
code removal from urllib.parse.urlsplit(),22891,4,2014-11-17.10:42:24,2015-03-17.02:01:15,6,['9'],1,20449
"cProfile command-line should accept ""-m module_name"" as an alternative to script path",21862,4,2014-06-24.20:06:54,2015-03-16.11:41:08,6,['9'],1,2040
3.4 regression: unittest.expectedFailure no longer works on TestCase subclasses,21112,4,2014-03-31.14:20:26,2015-03-16.01:34:20,5,"['9', '12']",1,16169
"unicode DNS names in urllib, urlopen",9679,4,2010-08-25.07:39:27,2015-03-13.22:32:09,6,"['9', '14']",1,8
Got rid of bad dunder names,23641,4,2015-03-11.14:42:14,2015-03-12.20:04:10,5,"['9', '12']",1,15623
curses for windows (alternative patch),2889,4,2008-05-16.06:38:26,2015-03-11.10:00:34,6,"['5', '15']",1,2984
runpy should check ImportError.name before wrapping it,19771,4,2013-11-25.12:39:47,2015-03-11.08:13:02,5,['9'],1,1309
test_multiprocessing_spawn fails when ran with -Werror,21779,4,2014-06-16.15:35:04,2015-03-10.19:26:57,5,['12'],1,15623
Setting .posix=True for shlex object causes infinite loop in __next__,16200,4,2012-10-11.19:09:30,2015-03-10.09:44:23,5,['9'],1,7276
Add inspect.splitdoc,12916,4,2011-09-06.16:32:26,2015-03-09.16:36:36,6,['9'],1,7641
Iterators over _winreg EnumKey and EnumValue results,7877,4,2010-02-07.21:31:39,2015-03-08.07:39:43,6,"['5', '15']",1,10080
xml.dom.minidom.Element.cloneNode fails with AttributeError,4851,4,2009-01-05.22:00:10,2015-03-07.19:12:06,5,['9'],1,982
test_doctest lineendings fails in verbose mode,23584,4,2015-03-04.16:40:31,2015-03-07.09:43:42,5,['12'],1,19262
transparent gzip compression in urllib,1508475,4,2006-06-19.08:59:09,2015-03-07.02:32:39,6,['9'],1,3508
sqlite3.InterfaceError after commit,10513,4,2010-11-23.12:35:31,2015-03-06.23:40:25,5,['5'],1,10983
gzip argparse interface,23596,4,2015-03-06.00:54:31,2015-03-06.02:22:24,6,['9'],1,16370
Use specific asserts in warnings and exceptions tests,20548,4,2014-02-07.20:26:11,2015-03-06.02:21:05,6,['12'],1,15623
"Use -Wl,--dynamic-list=x.list, not -Xlinker -export-dynamic",10112,4,2010-10-15.10:16:24,2015-03-03.13:35:18,3,['1'],1,11270
Patch fixing sanity check for ordered fd sequence in _posixsubprocess.c,23564,4,2015-03-02.16:50:12,2015-03-03.07:34:45,5,['5'],1,20909
Delete Misc/*.wpr files,23469,4,2015-02-16.00:59:02,2015-03-02.18:46:54,None,[],1,14674
_msi.c warnings under 64-bit Windows,9784,4,2010-09-06.12:55:41,2015-03-02.15:53:25,2,"['5', '15']",1,2040
Document changes in asynchat,6911,4,2009-09-14.15:26:58,2015-03-01.23:53:28,6,['4'],1,4510
Consistently handle path separator in Py_GetPath on Windows,12989,4,2011-09-16.00:08:15,2015-03-01.23:17:21,4,"['8', '15']",1,14826
normpath does not work with local literal paths,15286,4,2012-07-07.16:47:21,2015-03-01.22:22:22,5,['15'],1,14147
memoryview() constructor documentation error,20408,4,2014-01-27.11:53:11,2015-03-01.19:13:55,5,['8'],1,2731
Clarify max_length and flush() for zlib decompression,23200,4,2015-01-09.01:26:21,2015-02-28.12:08:49,None,['4'],1,14751
Improve invalid category exception for warnings.filterwarnings,21865,4,2014-06-25.00:06:37,2015-02-26.23:00:05,6,['9'],1,14674
Update patchcheck to looks for files with clinic comments,20264,4,2014-01-15.03:12:39,2015-02-25.15:33:37,6,"['1', '31']",1,11255
"Argument Clinic: add ""nullable ints""",20341,4,2014-01-22.03:18:01,2015-02-25.15:29:51,6,"['5', '31']",1,2731
Argument Clinic: add unsigned integers converters,20260,4,2014-01-14.17:31:58,2015-02-25.15:26:22,6,"['2', '8', '31']",1,15623
csv sniffer does not recognize quotes at the end of line,10515,4,2010-11-23.17:55:40,2015-02-24.20:46:15,5,['9'],1,13374
difflib.unified_diff(...) produces invalid patches,2142,4,2008-02-18.20:16:55,2015-02-24.20:26:42,6,['9'],1,5124
Implementation for PEP 451 (importlib.machinery.ModuleSpec),18864,4,2013-08-28.06:56:18,2015-02-24.19:53:19,6,"['8', '9']",1,14000
Switch applicable importlib tests to use PEP 451 API,21099,4,2014-03-29.21:34:35,2015-02-24.19:49:33,6,['12'],1,14000
Function calls taking a generator as star argument can mask TypeErrors in the generator,4806,4,2009-01-02.12:46:02,2015-02-24.04:29:14,5,['8'],1,8977
Document that binary IO classes work with bytes-likes objects,20699,4,2014-02-20.09:49:52,2015-02-23.04:37:52,5,"['4', '23']",1,19025
rlcompleter.Completer has duplicate matches,22143,4,2014-08-05.16:13:15,2015-02-22.22:52:24,5,['9'],1,5494
thread.get_ident() should return unsigned value,6532,4,2009-07-21.14:25:21,2015-02-18.12:34:31,5,['5'],1,10875
Remove long-time deprecated attributes from smtpd,22071,4,2014-07-25.16:51:37,2015-02-16.06:10:13,6,['9'],1,19099
"Optimize BytesIO to do  less reallocations when written, similarly to StringIO",15381,4,2012-07-17.12:12:45,2015-02-14.23:44:13,7,['9'],1,9740
python -m cProfile -s fails with non informative message,23420,4,2015-02-09.12:05:42,2015-02-14.18:39:44,6,['9'],1,19299
IndexError from ipaddress._BaseNetwork.__getitem__ has no message,20508,4,2014-02-04.13:09:31,2015-02-14.14:18:26,6,['9'],1,14554
wsgiref.simple_server.demo_app is not PEP-3333 compatible,17349,4,2013-03-04.12:27:33,2015-02-13.19:59:08,5,['9'],1,17415
Better error messages for wsgiref validator failures,14652,4,2012-04-23.17:48:02,2015-02-13.19:23:25,6,['9'],1,15625
Compilation warnings under x64 Windows,9566,4,2010-08-10.23:59:44,2015-02-13.16:07:52,5,"['5', '8']",1,2040
Persistent id in pickle with protocol version 0,17711,4,2013-04-13.11:41:49,2015-02-13.08:32:15,5,"['5', '9']",1,15623
urllib2 Digest Authorization uri must match request URI,8843,4,2010-05-28.11:33:17,2015-02-13.01:24:51,5,['9'],1,12445
Add autocompletion for keys in dictionaries,10351,4,2010-11-08.09:22:36,2015-02-12.05:08:45,6,['9'],1,13263
os.path.realpath on Windows does not follow symbolic links,9949,4,2010-09-25.15:03:13,2015-02-09.15:38:09,5,['9'],1,5251
Add half-float (16-bit) support to struct module,11734,4,2011-04-01.01:00:15,2015-02-08.11:11:01,6,['9'],1,14041
Add pickle support of Mapping views,23401,4,2015-02-06.09:58:55,2015-02-06.18:57:34,6,['9'],1,15623
col_offset is -1 and lineno is wrong for multiline string expressions,16806,4,2012-12-29.00:08:22,2015-02-05.19:30:51,6,['8'],1,12869
Add pickle support of dict views,23264,4,2015-01-18.08:11:56,2015-02-04.23:49:33,6,['8'],1,15623
"pyport.h FreeBSD/Mac OS X ""fix"" causes errors in C++ compilation",10910,4,2011-01-14.21:21:37,2015-02-02.13:04:06,2,"['1', '10']",1,13602
Improve socketserver doc,15608,4,2012-08-09.19:44:26,2015-02-01.12:21:52,6,['4'],1,155
Document 'from None' in raise statement doc.,17188,4,2013-02-12.01:19:59,2015-01-31.00:57:01,6,['4'],1,155
Missing enumeration of HTTPResponse Objects methods of urllib.request.urlopen's http.client.HTTPResponse?,21228,4,2014-04-15.00:08:03,2015-01-29.04:32:18,6,['4'],1,19424
Attempt full test coverage of LocaleTextCalendar.formatweekday,13330,4,2011-11-03.06:14:09,2015-01-29.01:20:40,6,"['9', '12']",1,15099
typos in curses argument error messages,15852,4,2012-09-02.21:41:42,2015-01-26.06:34:35,5,['9'],1,12075
Improve disassembly to show embedded code objects,11822,4,2011-04-10.20:25:51,2015-01-26.01:28:23,6,['9'],1,114
please add wsgi to SimpleXMLRPCServer,1745722,4,2007-06-30.13:31:58,2015-01-25.22:35:53,6,['9'],1,2587
namedtuple row factory for sqlite3,13299,4,2011-10-31.00:32:25,2015-01-21.04:43:49,6,[],1,1309
Cleanup unused and duplicate imports in tests,23277,4,2015-01-20.01:17:42,2015-01-20.07:09:41,None,['12'],1,20623
Crashes when tarfile contains a symlink and unpack directory contain it too,23228,4,2015-01-13.08:55:02,2015-01-19.09:27:20,1,['9'],1,3058
Modernize the IDLE Find/Replace/Find in Files dialogs,23218,4,2015-01-10.10:00:51,2015-01-18.09:40:35,6,['6'],1,15585
webbrowser doesn't respect xfce default browser,6671,4,2009-08-09.10:35:24,2015-01-18.04:18:20,5,['9'],1,10971
inspect.getsource() returns incorrect source lines,6700,4,2009-08-14.04:19:21,2015-01-17.15:58:05,5,['9'],1,1595
Reimplement subset of multiprocessing.sharedctypes using memoryview,14953,4,2012-05-29.14:59:42,2015-01-16.08:31:28,6,[],1,13976
Add DTrace probes,13405,4,2011-11-14.19:42:06,2015-01-14.15:38:32,6,['8'],1,415
PEP 463 (except expression) implementation,20739,4,2014-02-22.23:56:57,2015-01-14.01:30:10,6,['8'],1,14
run_tests.py doesn't set test.support.verbose correctly,23235,4,2015-01-14.00:04:35,2015-01-14.01:10:42,5,['2'],1,14674
Update grammar tests to use new style for annotated function definitions,23182,4,2015-01-07.08:49:05,2015-01-12.02:00:56,6,"['9', '12']",1,20550
IDLE grep/find/replace source code needs docstrings,23216,4,2015-01-10.09:15:06,2015-01-11.16:04:15,6,['6'],1,15585
Unit test needed for IDLE's GrepDialog.py's findfiles(),23205,4,2015-01-09.08:16:00,2015-01-11.04:31:10,6,['6'],1,15585
Fix sqlite3 in unicodeless build,21836,4,2014-06-24.07:07:40,2015-01-11.02:00:14,2,"['5', '9', '12']",1,15623
Unification of read() and readline() argument names,17003,4,2013-01-20.16:13:14,2015-01-09.15:03:32,6,"['4', '9', '23']",1,15623
IDLE shell shouldn't use TABs,7676,4,2010-01-11.12:36:19,2015-01-09.01:02:31,5,['6'],1,1186
Add tests for CLI of the tabnanny module,19102,4,2013-09-27.11:41:08,2015-01-08.11:04:32,6,['12'],1,14674
IDLE - TreeWidget draw and double-click (Ubuntu),6171,4,2009-06-02.00:46:51,2015-01-07.20:51:52,5,['6'],1,10640
Migrate sqlite3 module to _v2 API to enhance performance,9303,4,2010-07-19.12:08:04,2015-01-05.17:18:17,7,['5'],1,12678
IDLE HOWTO,17583,4,2013-03-30.23:12:36,2015-01-04.02:17:21,6,"['4', '6']",1,17587
flaky test in test_datetime,15933,4,2012-09-12.16:20:15,2015-01-03.03:41:51,5,['12'],1,2040
Alternate RFC 3986 compliant URI parsing module,1500504,4,2006-06-04.14:50:18,2015-01-01.01:25:35,6,['9'],1,1309
"Doc cleanup regarding path=fd, dir_fd, follow_symlinks, etc",16024,4,2012-09-24.15:29:58,2014-12-31.16:31:25,6,['4'],1,2731
doctest work with Windows PyReadline,1708316,4,2007-04-26.19:02:04,2014-12-31.16:25:57,6,"['9', '15']",1,3134
curses for win32,1005895,4,2004-08-09.11:05:57,2014-12-31.16:25:39,6,"['5', '15']",1,3529
mailbox: other programs' messages can vanish without trace,1599254,4,2006-11-19.16:03:08,2014-12-31.16:25:26,5,['9'],1,2694
difflib.SequenceMatcher and Match: code and doc bugs,12384,4,2011-06-21.20:00:41,2014-12-31.16:25:04,5,"['4', '9']",1,155
Single-line option to pygettext.py,1098749,4,2005-01-09.03:01:53,2014-12-31.16:23:24,6,['2'],1,1149
Add advice on best practices for hashing secrets,17006,4,2013-01-21.08:48:02,2014-12-31.16:22:31,6,['4'],1,3108
curses - new window methods: addchstr and addchnstr,1751519,4,2007-07-10.22:48:41,2014-12-31.16:20:52,6,['5'],1,3811
missing termios constants,7695,4,2010-01-13.20:02:29,2014-12-31.16:20:36,6,['9'],1,10706
"curses patch add color_set and wcolor_set , and addchstr family of functions",5368,4,2009-02-25.17:30:28,2014-12-31.16:19:57,6,['5'],1,10141
%-formatting and dicts,1467929,4,2006-04-10.19:39:08,2014-12-31.16:19:19,5,['8'],1,4
Misleading documentations and comments in regular expression HOWTO,18779,4,2013-08-19.07:45:16,2014-12-31.16:15:07,None,"['4', '11']",1,17937
Add SystemTap static markers,14776,4,2012-05-10.21:05:15,2014-12-27.04:41:11,6,['8'],1,11193
link_objects in setup.cfg crashes build,1703178,4,2007-04-18.19:03:11,2014-12-25.02:40:32,5,['3'],1,3122
Get path to shell/known folders on Windows,1763,4,2008-01-08.17:12:57,2014-12-20.20:56:00,6,"['9', '15']",1,3108
Add Japanese legacy encodings,23050,4,2014-12-14.14:34:49,2014-12-16.04:18:44,6,['9'],1,15648
"""TypeError: Item in ``from list'' not a string""  message",21720,4,2014-06-11.13:28:45,2014-12-16.02:50:26,6,[],1,19739
Test failures with COUNT_ALLOCS,19527,4,2013-11-08.12:30:13,2014-12-13.17:47:36,5,['12'],1,15772
implement sys.get/setbyteswarningflag(),18373,4,2013-07-05.22:58:44,2014-12-13.01:37:45,6,['8'],1,11735
sysconfig generation uses some env variables multiple times,17679,4,2013-04-09.13:51:48,2014-12-11.22:02:08,5,['1'],1,15772
Compact output for regrtest,17554,4,2013-03-26.21:02:15,2014-12-10.06:01:16,6,['12'],1,7047
IDLE crashes when pasting non-BMP unicode char on Py3,13153,4,2011-10-11.20:01:32,2014-12-09.23:01:07,5,"['6', '13', '14']",1,13999
cgi.py multipart/form-data,1610654,4,2006-12-07.09:18:18,2014-12-09.14:53:05,7,['9'],1,4672
Update uuid.UUID TypeError exception: integer should not be an argument.,19164,4,2013-10-04.11:18:10,2014-12-08.21:29:34,5,['4'],1,18274
Number ABC can be instantiated,16837,4,2013-01-01.23:26:03,2014-12-04.08:24:47,5,['9'],1,1427
Tutorial and  FAQ: how to call a method on an int,20692,4,2014-02-19.22:50:24,2014-12-04.01:52:05,5,"['4', '8']",1,19022
mimetypes does not support webm type,16329,4,2012-10-26.13:34:58,2014-12-03.23:36:28,6,['9'],1,3080
"IDLE - add ""paste code"" functionality",1178,4,2007-09-18.22:03:30,2014-12-02.07:10:57,6,['6'],1,2557
Pasted \n not same as typed \n,3559,4,2008-08-15.05:34:49,2014-12-02.04:48:30,5,['6'],1,155
segfault during shutdown attempting to log ResourceWarning,22898,4,2014-11-18.21:26:16,2014-12-01.11:21:08,1,['8'],1,17504
subprocess should include filename in FileNotFoundError exception,22536,4,2014-10-02.00:49:37,2014-11-30.03:03:35,5,['9'],1,20223
"PEP 3121, 384 Refactoring applied to tkinter module",15721,4,2012-08-18.10:53:44,2014-11-26.07:48:35,3,['5'],1,15796
pydoc.synopsis fails to load binary modules,20123,4,2014-01-04.22:27:05,2014-11-21.09:34:48,5,[],1,14000
Increased test coverage for uu and telnet,18731,4,2013-08-13.21:04:21,2014-11-19.07:42:26,6,['12'],1,18239
Misbehavior of BufferedRandom.write with raw file in append mode,20082,4,2013-12-27.23:33:12,2014-11-18.17:27:26,5,['23'],1,13967
Integer overflow in zipimport.c,19883,4,2013-12-04.09:34:05,2014-11-17.08:27:58,2,[],1,3108
Fixes for elementtree integer overflow,19687,4,2013-11-22.00:03:31,2014-11-17.08:26:11,2,['9'],1,3108
"Move unwinding of stack for ""pseudo exceptions"" from interpreter to compiler.",17611,4,2013-04-01.16:31:20,2014-11-16.15:06:13,6,['8'],1,13034
fileno argument to socket.socket() undocumented,16802,4,2012-12-28.16:12:31,2014-11-14.19:14:38,6,['4'],1,13976
textwrap.wrap: add control for fonts with different character widths,12499,4,2011-07-05.03:03:24,2014-11-12.20:52:31,6,['9'],1,14529
idle3 shell os.system swallows shell command output,11820,4,2011-04-10.07:45:39,2014-11-12.00:39:24,5,"['6', '8']",1,14097
pathlib: iterfiles() and iterdirs(),19767,4,2013-11-25.10:25:47,2014-11-10.08:53:23,6,['9'],1,10826
pathlib missing Path.expandvars(env=os.environ),21301,4,2014-04-18.19:31:05,2014-11-10.08:48:05,6,['9'],1,19457
add function to os module for getting path to default shell,16353,4,2012-10-29.01:19:20,2014-11-06.20:19:44,6,['9'],1,12075
urljoin should raise a TypeError if URL is not a string,19094,4,2013-09-25.20:55:41,2014-11-06.13:50:51,5,['9'],1,1290
urllib2 localnet Changed test to lookup IP-address of localhost,22753,4,2014-10-28.14:47:08,2014-11-03.11:58:35,5,['12'],1,20344
Locks in the standard library should be sanitized on fork,6721,4,2009-08-17.23:06:17,2014-11-03.11:21:12,6,['9'],1,252
"add an optional ""default"" argument to tokenize.detect_encoding",9771,4,2010-09-04.11:32:08,2014-11-02.12:11:24,6,['9'],1,11184
test.test_pathlib.PosixPathTest.test_touch_common fails on FreeBSD with ZFS,19838,4,2013-11-30.08:44:09,2014-11-01.16:05:31,5,['12'],1,12504
IDLE: Remove tear-off menu feature,13884,4,2012-01-26.23:41:03,2014-10-31.19:27:47,6,['6'],1,15408
"An OSError subclass for ""no space left on device"" would be nice: NoSpaceError",22678,4,2014-10-20.16:27:15,2014-10-31.18:50:39,6,['8'],1,12826
Use Py_REPLACE/Py_XREPLACE macros,20440,4,2014-01-29.18:14:18,2014-10-30.10:40:23,1,"['5', '8']",1,15623
trace module: unclear error message,22642,4,2014-10-15.12:46:20,2014-10-29.17:10:05,5,['9'],1,3080
Implement utf-8-bmp codec,14304,4,2012-03-14.21:01:10,2014-10-27.19:32:21,5,['13'],1,10303
Idle: add help to config dialogs,22726,4,2014-10-25.04:46:23,2014-10-25.04:46:23,6,[],1,155
Regex objects became uncopyable in 2.5,10076,4,2010-10-12.20:45:22,2014-10-23.21:01:48,5,"['9', '11']",1,13131
re.finditer and re.findall should support negative end positions,7940,4,2010-02-16.14:04:33,2014-10-23.20:51:13,6,"['9', '11']",1,1546
Replace _PyUnicode_CompareWithId with _PyUnicode_CompareWithIdEqual,21449,4,2014-05-06.21:35:24,2014-10-22.22:43:04,None,[],1,19135
smtpd-as-a-script feature should be documented and should use argparse,11260,4,2011-02-20.20:03:50,2014-10-22.20:57:56,6,"['4', '9']",1,11889
Python does not provide PyLong_FromIntMax_t() or PyLong_FromUintMax_t() function,17870,4,2013-04-29.20:57:04,2014-10-16.15:57:43,6,[],1,4470
Try to reuse stdint.h types like int32_t,17884,4,2013-04-30.22:52:46,2014-10-15.15:07:31,6,[],1,2377
Make rawiobase_read() read directly to bytes object,15903,4,2012-09-10.12:23:03,2014-10-14.18:01:58,7,"['9', '23']",1,13976
ctypes: better support of bytearray objects,10803,4,2011-01-02.06:59:01,2014-10-14.17:17:00,6,['22'],1,10736
Do not assume signed integer overflow behavior,1621,4,2007-12-14.00:43:47,2014-10-14.17:16:16,4,[],1,252
json encoder unable to handle decimal,16535,4,2012-11-22.22:45:38,2014-10-14.17:01:36,6,['9'],1,7641
README.valgrind should mention --with-valgrind,18859,4,2013-08-28.00:19:48,2014-10-14.16:57:35,6,['1'],1,6
implement PEP 3118 struct changes,3132,4,2008-06-17.22:30:31,2014-10-14.16:49:42,6,['9'],1,4455
Add float.is_finite is_nan is_infinite to match Decimal methods,18842,4,2013-08-26.15:59:17,2014-10-14.16:23:43,6,[],1,9511
Fix compiler warning when building extension modules on 64-bit Windows,16779,4,2012-12-25.18:38:54,2014-10-14.16:17:41,None,"['1', '3']",1,4624
Make bytes() use tp_as_buffer for cmp,20339,4,2014-01-22.00:40:29,2014-10-14.15:39:03,6,['8'],1,83
"PEP 3121, 384 Refactoring applied to struct module",15671,4,2012-08-15.14:42:58,2014-10-14.15:01:18,3,['5'],1,15796
Fix IDLE in unicodeless build,21842,4,2014-06-24.07:18:08,2014-10-14.10:41:58,5,"['6', '12']",1,15623
Indicating packages to be loaded when a Tcl interpreter is created in tkinter,5159,4,2009-02-05.20:08:23,2014-10-14.00:51:40,6,['13'],1,4698
"Windows: build with ""build_pgo.bat -2"" fails to optimize python.dll",17667,4,2013-04-08.18:10:34,2014-10-13.06:52:41,2,"['1', '15']",1,17652
Idle/tkinter ~x.py 'save as' fails. closes idle,15363,4,2012-07-15.23:17:23,2014-10-12.09:53:41,5,"['6', '13']",1,155
Python startup should not require passwd entry,10496,4,2010-11-22.00:59:48,2014-10-12.00:30:49,5,['17'],1,13362
Add os.path.isrelative() and improve ntpath.isabs(),1669539,4,2007-02-26.23:07:51,2014-10-11.00:47:28,6,['9'],1,3774
Deprecate the use of flags not at the start of regular expression,22493,4,2014-09-25.10:29:00,2014-10-10.07:30:30,6,"['9', '11']",1,15623
subprocess.py doesn't correctly detect Windows machines,8110,4,2010-03-10.15:57:11,2014-10-06.14:11:52,5,"['9', '15']",1,11853
Remove unnecessarily random behavior from test_unparse.py,15273,4,2012-07-07.12:29:12,2014-10-05.18:52:18,5,['12'],1,2731
wsgiref.simple_server.SimpleServer claims to be multithreaded,8138,4,2010-03-14.18:08:54,2014-10-05.04:45:59,5,['9'],1,2737
IDLE file-completion is case-sensitive in Windows,18903,4,2013-09-02.01:33:35,2014-10-05.02:49:12,6,"['6', '15']",1,13696
uuid.py module import has heavy side effects,11063,4,2011-01-29.17:10:59,2014-10-04.23:44:23,3,['9'],1,13689
MacOSX: Building 2.7 without the xcode command line  tools installed,19960,4,2013-12-12.12:07:05,2014-10-04.18:40:20,2,['1'],1,925
Concurrent.futures base concurrency improvement (with patch),20516,4,2014-02-05.02:56:55,2014-10-04.18:21:07,6,['9'],1,18877
duplicate test name in Lib/test/test_heapq.py,19119,4,2013-09-28.20:53:22,2014-10-03.22:51:02,5,['12'],1,12652
Unchecked PyErr_WarnPy3k return value in Objects/typeobject.c,8627,4,2010-05-05.14:30:55,2014-10-03.17:55:41,5,['8'],1,1118
IDLE: Detect Python files even if name doesn't end in .py,6804,4,2009-08-29.21:44:38,2014-10-03.04:05:56,6,['6'],1,1595
IDLE - tabbing in a string always brings up file completion window,16198,4,2012-10-11.16:48:41,2014-10-03.03:58:24,5,['6'],1,7276
"Possibility of setting custom key bindings for ""Additional help sources"" menu items",15808,4,2012-08-29.11:23:43,2014-10-03.03:47:23,6,['6'],1,16409
"thread hang, possibly related to print",10909,4,2011-01-14.17:37:25,2014-10-03.03:44:46,5,['6'],1,13600
IDLE: Replace selected not working/consistent with find,13586,4,2011-12-12.05:41:52,2014-10-03.03:18:32,5,['6'],1,15201
IDLE window won't start or show up after assgining new key in options v2.5.2 and 3.1.1,6739,4,2009-08-20.08:31:19,2014-10-03.03:09:15,5,['6'],1,11036
shlex: bug in posix mode handling of empty strings,21999,4,2014-07-17.16:37:00,2014-10-01.22:51:46,5,[],1,17606
shlex.split() does not tokenize like the shell,1521950,4,2006-07-13.17:44:33,2014-10-01.22:30:04,6,['9'],1,4650
_ctypes/libffi missing bits for aarch64 support,17873,4,2013-04-29.23:05:23,2014-10-01.07:47:09,2,['22'],1,17791
sched.py: speedup cancel() method,13451,4,2011-11-22.01:03:42,2014-10-01.00:46:50,7,['9'],1,3080
"Python libcrypt build problem on Solaris 8, 9, 10 and OpenSolaris",1471934,4,2006-04-17.20:02:09,2014-10-01.00:00:43,2,['1'],1,1254
Fail when vsvarsall.bat produces stderr,9912,4,2010-09-21.15:24:35,2014-09-29.10:11:42,6,['3'],1,3940
http.server.BaseHTTPRequestHandler send_response_only doesn't check the type and value of the code.,17319,4,2013-02-28.04:12:05,2014-09-26.20:32:04,6,['9'],1,10312
Fix wsgiref handling of absolute HTTP Request-URI,21472,4,2014-05-11.11:31:53,2014-09-25.20:37:19,5,['9'],1,14250
